Title,Link,Difficulty,Topic
"Swim in Rising Water","https://leetcode.com/problems/swim-in-rising-water","HARD","Array, Binary Search, Depth-First Search, Breadth-First Search, Union Find, Heap (Priority Queue), Matrix"
"Best Time to Buy and Sell Stock IV","https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv","HARD","Array, Dynamic Programming"
"Evaluate Division","https://leetcode.com/problems/evaluate-division","MEDIUM","Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path"
"Binary Tree Level Order Traversal","https://leetcode.com/problems/binary-tree-level-order-traversal","MEDIUM","Tree, Breadth-First Search, Binary Tree"
"Group Anagrams","https://leetcode.com/problems/group-anagrams","MEDIUM","Array, Hash Table, String, Sorting"
"Longest Consecutive Sequence","https://leetcode.com/problems/longest-consecutive-sequence","MEDIUM","Array, Hash Table, Union Find"
"LRU Cache","https://leetcode.com/problems/lru-cache","MEDIUM","Hash Table, Linked List, Design, Doubly-Linked List"
"Find Duplicate Subtrees","https://leetcode.com/problems/find-duplicate-subtrees","MEDIUM","Hash Table, Tree, Depth-First Search, Binary Tree"
"Ways to Make a Fair Array","https://leetcode.com/problems/ways-to-make-a-fair-array","MEDIUM","Array, Prefix Sum"
"First Missing Positive","https://leetcode.com/problems/first-missing-positive","HARD","Array, Hash Table"
"Heaters","https://leetcode.com/problems/heaters","MEDIUM","Array, Two Pointers, Binary Search, Sorting"
"Snakes and Ladders","https://leetcode.com/problems/snakes-and-ladders","MEDIUM","Array, Breadth-First Search, Matrix"
"Sum of Subarray Minimums","https://leetcode.com/problems/sum-of-subarray-minimums","MEDIUM","Array, Dynamic Programming, Stack, Monotonic Stack"
"Asteroid Collision","https://leetcode.com/problems/asteroid-collision","MEDIUM","Array, Stack, Simulation"
"Generate Parentheses","https://leetcode.com/problems/generate-parentheses","MEDIUM","String, Dynamic Programming, Backtracking"
"Insert Interval","https://leetcode.com/problems/insert-interval","MEDIUM","Array"
"Binary Tree Cameras","https://leetcode.com/problems/binary-tree-cameras","HARD","Dynamic Programming, Tree, Depth-First Search, Binary Tree"
"Maximum Performance of a Team","https://leetcode.com/problems/maximum-performance-of-a-team","HARD","Array, Greedy, Sorting, Heap (Priority Queue)"
"Jump Game","https://leetcode.com/problems/jump-game","MEDIUM","Array, Dynamic Programming, Greedy"
"Partition Array Into Two Arrays to Minimize Sum Difference","https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference","HARD","Array, Two Pointers, Binary Search, Dynamic Programming, Bit Manipulation, Ordered Set, Bitmask"
"Largest Rectangle in Histogram","https://leetcode.com/problems/largest-rectangle-in-histogram","HARD","Array, Stack, Monotonic Stack"
"Decode Ways II","https://leetcode.com/problems/decode-ways-ii","HARD","String, Dynamic Programming"
"Find Minimum Time to Finish All Jobs","https://leetcode.com/problems/find-minimum-time-to-finish-all-jobs","HARD","Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
"Alien Dictionary","https://leetcode.com/problems/alien-dictionary","HARD","Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort"
"Daily Temperatures","https://leetcode.com/problems/daily-temperatures","MEDIUM","Array, Stack, Monotonic Stack"
"Course Schedule II","https://leetcode.com/problems/course-schedule-ii","MEDIUM","Depth-First Search, Breadth-First Search, Graph, Topological Sort"
"Longest Repeating Character Replacement","https://leetcode.com/problems/longest-repeating-character-replacement","MEDIUM","Hash Table, String, Sliding Window"
"Complete Binary Tree Inserter","https://leetcode.com/problems/complete-binary-tree-inserter","MEDIUM","Tree, Breadth-First Search, Design, Binary Tree"
"String Compression","https://leetcode.com/problems/string-compression","MEDIUM","Two Pointers, String"
"Number of Islands","https://leetcode.com/problems/number-of-islands","MEDIUM","Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
"Magnetic Force Between Two Balls","https://leetcode.com/problems/magnetic-force-between-two-balls","MEDIUM","Array, Binary Search, Sorting"
"Number of Islands II","https://leetcode.com/problems/number-of-islands-ii","HARD","Array, Hash Table, Union Find"
"Copy List with Random Pointer","https://leetcode.com/problems/copy-list-with-random-pointer","MEDIUM","Hash Table, Linked List"
"Maximum Total Damage With Spell Casting","https://leetcode.com/problems/maximum-total-damage-with-spell-casting","MEDIUM","Array, Hash Table, Two Pointers, Binary Search, Dynamic Programming, Sorting, Counting"
"Find All Possible Recipes from Given Supplies","https://leetcode.com/problems/find-all-possible-recipes-from-given-supplies","MEDIUM","Array, Hash Table, String, Graph, Topological Sort"
"Gas Station","https://leetcode.com/problems/gas-station","MEDIUM","Array, Greedy"
"Walking Robot Simulation","https://leetcode.com/problems/walking-robot-simulation","MEDIUM","Array, Hash Table, Simulation"
"Minimum Cost Tree From Leaf Values","https://leetcode.com/problems/minimum-cost-tree-from-leaf-values","MEDIUM","Array, Dynamic Programming, Stack, Greedy, Monotonic Stack"
"Best Time to Buy and Sell Stock II","https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii","MEDIUM","Array, Dynamic Programming, Greedy"
"Apply Operations to Maximize Frequency Score","https://leetcode.com/problems/apply-operations-to-maximize-frequency-score","HARD","Array, Binary Search, Sliding Window, Sorting, Prefix Sum"
"Make Sum Divisible by P","https://leetcode.com/problems/make-sum-divisible-by-p","MEDIUM","Array, Hash Table, Prefix Sum"
"Minimum Height Trees","https://leetcode.com/problems/minimum-height-trees","MEDIUM","Depth-First Search, Breadth-First Search, Graph, Topological Sort"
"Find the Celebrity","https://leetcode.com/problems/find-the-celebrity","MEDIUM","Two Pointers, Graph, Interactive"
"Longest Common Prefix","https://leetcode.com/problems/longest-common-prefix","EASY","String, Trie"
"Number of Flowers in Full Bloom","https://leetcode.com/problems/number-of-flowers-in-full-bloom","HARD","Array, Hash Table, Binary Search, Sorting, Prefix Sum, Ordered Set"
