Title,Link,Difficulty,Topic
"Majority Element","https://leetcode.com/problems/majority-element","EASY","Array, Hash Table, Divide and Conquer, Sorting, Counting"
"Letter Combinations of a Phone Number","https://leetcode.com/problems/letter-combinations-of-a-phone-number","MEDIUM","Hash Table, String, Backtracking"
"Kth Smallest Element in a BST","https://leetcode.com/problems/kth-smallest-element-in-a-bst","MEDIUM","Tree, Depth-First Search, Binary Search Tree, Binary Tree"
"Integer to Roman","https://leetcode.com/problems/integer-to-roman","MEDIUM","Hash Table, Math, String"
"Permutations","https://leetcode.com/problems/permutations","MEDIUM","Array, Backtracking"
"Copy List with Random Pointer","https://leetcode.com/problems/copy-list-with-random-pointer","MEDIUM","Hash Table, Linked List"
"Word Break II","https://leetcode.com/problems/word-break-ii","HARD","Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
"Decode Ways","https://leetcode.com/problems/decode-ways","MEDIUM","String, Dynamic Programming"
"Longest Valid Parentheses","https://leetcode.com/problems/longest-valid-parentheses","HARD","String, Dynamic Programming, Stack"
"Rotate Array","https://leetcode.com/problems/rotate-array","MEDIUM","Array, Math, Two Pointers"
"Largest Number","https://leetcode.com/problems/largest-number","MEDIUM","Array, String, Greedy, Sorting"
"Regular Expression Matching","https://leetcode.com/problems/regular-expression-matching","HARD","String, Dynamic Programming, Recursion"
"Invert Binary Tree","https://leetcode.com/problems/invert-binary-tree","EASY","Tree, Depth-First Search, Breadth-First Search, Binary Tree"
"Palindrome Number","https://leetcode.com/problems/palindrome-number","EASY","Math"
"Find Peak Element","https://leetcode.com/problems/find-peak-element","MEDIUM","Array, Binary Search"
"Insert Interval","https://leetcode.com/problems/insert-interval","MEDIUM","Array"
"Max Points on a Line","https://leetcode.com/problems/max-points-on-a-line","HARD","Array, Hash Table, Math, Geometry"
"Merge Sorted Array","https://leetcode.com/problems/merge-sorted-array","EASY","Array, Two Pointers, Sorting"
"Sudoku Solver","https://leetcode.com/problems/sudoku-solver","HARD","Array, Hash Table, Backtracking, Matrix"
"Unique Paths","https://leetcode.com/problems/unique-paths","MEDIUM","Math, Dynamic Programming, Combinatorics"
"Populating Next Right Pointers in Each Node","https://leetcode.com/problems/populating-next-right-pointers-in-each-node","MEDIUM","Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
